dominant_topic,assigned_topic
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
9,government
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
15,building
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
14,road
19,film
2,episode
19,film
19,film
19,film
19,film
19,film
19,film
19,film
0,years
19,film
19,film
0,years
2,episode
19,film
19,film
19,film
19,film
19,film
19,film
0,years
19,film
19,film
2,episode
19,film
19,film
19,film
19,film
19,film
0,years
19,film
19,film
19,film
19,film
19,film
0,years
19,film
19,film
19,film
19,film
2,episode
19,film
2,episode
19,film
19,film
19,film
5,album
11,book
19,film
2,episode
19,film
19,film
19,film
0,years
0,years
0,years
19,film
19,film
19,film
19,film
19,film
19,film
19,film
0,years
19,film
19,film
19,film
19,film
19,film
0,years
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
9,government
19,film
19,film
19,film
19,film
2,episode
19,film
19,film
19,film
2,episode
2,episode
19,film
0,years
19,film
19,film
19,film
19,film
0,years
0,years
19,film
19,film
0,years
19,film
19,film
0,years
19,film
19,film
19,film
19,film
19,film
19,film
19,film
2,episode
19,film
19,film
19,film
19,film
19,film
19,film
19,film
2,episode
19,film
19,film
19,film
2,episode
19,film
0,years
19,film
0,years
19,film
19,film
19,film
19,film
0,years
19,film
19,film
9,government
2,episode
19,film
0,years
19,film
19,film
19,film
1,team
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
0,years
2,episode
0,years
19,film
19,film
19,film
2,episode
19,film
19,film
19,film
0,years
19,film
0,years
19,film
19,film
19,film
5,album
2,episode
0,years
19,film
19,film
19,film
19,film
19,film
19,film
19,film
0,years
0,years
0,years
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
19,film
0,years
19,film
0,years
1,team
19,film
19,film
19,film
5,album
19,film
19,film
19,film
0,years
19,film
2,episode
19,film
0,years
19,film
19,film
19,film
19,film
2,episode
0,years
19,film
19,film
19,film
19,film
0,years
0,years
19,film
19,film
0,years
0,years
19,film
19,film
0,years
19,film
2,episode
2,episode
0,years
19,film
0,years
0,years
19,film
19,film
19,film
19,film
2,episode
19,film
19,film
19,film
19,film
0,years
19,film
0,years
0,years
0,years
19,film
19,film
19,film
0,years
19,film
6,song
0,years
19,film
19,film
0,years
2,episode
2,episode
19,film
5,album
6,song
19,film
0,years
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
16,species
9,government
15,building
15,building
4,use
9,government
15,building
15,building
9,government
9,government
9,government
15,building
9,government
15,building
9,government
0,years
13,war
15,building
9,government
9,government
0,years
15,building
15,building
9,government
3,king
18,australia
15,building
13,war
4,use
15,building
15,building
4,use
0,years
9,government
9,government
3,king
15,building
13,war
9,government
13,war
15,building
9,government
13,war
13,war
15,building
15,building
15,building
9,government
9,government
15,building
16,species
13,war
0,years
9,government
15,building
13,war
9,government
15,building
9,government
15,building
15,building
15,building
0,years
9,government
15,building
9,government
13,war
13,war
15,building
0,years
13,war
9,government
11,book
9,government
15,building
9,government
0,years
15,building
15,building
0,years
15,building
13,war
13,war
13,war
15,building
9,government
9,government
9,government
9,government
15,building
15,building
9,government
13,war
15,building
0,years
13,war
15,building
15,building
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
15,building
3,king
3,king
3,king
15,building
3,king
15,building
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
15,building
3,king
3,king
3,king
3,king
3,king
3,king
15,building
3,king
15,building
15,building
3,king
15,building
3,king
3,king
3,king
3,king
3,king
9,government
3,king
3,king
3,king
4,use
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
15,building
3,king
3,king
3,king
3,king
3,king
3,king
4,use
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
0,years
3,king
3,king
0,years
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
4,use
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
3,king
15,building
3,king
3,king
3,king
3,king
3,king
3,king
4,use
3,king
15,building
3,king
3,king
3,king
3,king
3,king
4,use
3,king
4,use
3,king
4,use
3,king
3,king
3,king
3,king
3,king
15,building
3,king
3,king
3,king
3,king
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
12,storm
18,australia
17,ship
17,ship
7,guns
17,ship
17,ship
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
17,ship
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
7,guns
6,song
6,song
6,song
5,album
6,song
5,album
5,album
5,album
5,album
6,song
6,song
5,album
6,song
6,song
6,song
6,song
5,album
6,song
6,song
5,album
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
5,album
6,song
6,song
1,team
6,song
6,song
6,song
5,album
6,song
5,album
6,song
6,song
6,song
6,song
6,song
6,song
6,song
5,album
5,album
6,song
6,song
5,album
6,song
5,album
6,song
6,song
5,album
6,song
5,album
5,album
6,song
6,song
5,album
5,album
6,song
6,song
6,song
6,song
6,song
6,song
6,song
5,album
6,song
6,song
5,album
5,album
6,song
5,album
5,album
5,album
5,album
5,album
5,album
6,song
6,song
5,album
6,song
6,song
5,album
5,album
6,song
5,album
6,song
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
5,album
5,album
6,song
5,album
5,album
6,song
6,song
6,song
6,song
5,album
6,song
6,song
6,song
6,song
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
6,song
5,album
5,album
5,album
5,album
5,album
5,album
5,album
6,song
6,song
5,album
6,song
5,album
6,song
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
5,album
5,album
6,song
5,album
6,song
5,album
5,album
6,song
6,song
5,album
5,album
6,song
5,album
6,song
6,song
5,album
5,album
5,album
5,album
5,album
6,song
5,album
6,song
5,album
6,song
5,album
6,song
5,album
6,song
6,song
5,album
5,album
6,song
6,song
6,song
5,album
6,song
5,album
5,album
6,song
6,song
5,album
5,album
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
5,album
5,album
6,song
6,song
6,song
6,song
6,song
5,album
6,song
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
6,song
6,song
6,song
9,government
13,war
18,australia
18,australia
18,australia
0,years
13,war
13,war
13,war
9,government
18,australia
13,war
13,war
13,war
3,king
3,king
13,war
0,years
17,ship
3,king
13,war
17,ship
13,war
13,war
13,war
0,years
0,years
13,war
13,war
17,ship
13,war
13,war
13,war
1,team
0,years
17,ship
0,years
13,war
13,war
13,war
0,years
18,australia
13,war
18,australia
3,king
13,war
0,years
18,australia
13,war
18,australia
13,war
13,war
17,ship
13,war
3,king
13,war
17,ship
13,war
13,war
18,australia
13,war
9,government
13,war
13,war
3,king
13,war
18,australia
13,war
13,war
0,years
13,war
13,war
13,war
13,war
0,years
3,king
18,australia
13,war
13,war
13,war
18,australia
13,war
13,war
13,war
18,australia
17,ship
0,years
13,war
13,war
13,war
13,war
0,years
13,war
3,king
18,australia
13,war
13,war
17,ship
13,war
18,australia
17,ship
13,war
3,king
13,war
13,war
13,war
9,government
0,years
13,war
13,war
13,war
13,war
3,king
0,years
3,king
3,king
18,australia
13,war
13,war
0,years
13,war
18,australia
18,australia
13,war
3,king
13,war
0,years
18,australia
13,war
3,king
3,king
13,war
18,australia
18,australia
18,australia
13,war
18,australia
13,war
18,australia
18,australia
3,king
18,australia
18,australia
13,war
13,war
13,war
9,government
13,war
0,years
13,war
18,australia
3,king
18,australia
13,war
0,years
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
17,ship
13,war
18,australia
0,years
13,war
18,australia
3,king
18,australia
18,australia
17,ship
0,years
13,war
0,years
3,king
18,australia
13,war
0,years
5,album
6,song
0,years
5,album
6,song
5,album
5,album
5,album
6,song
6,song
6,song
5,album
13,war
13,war
13,war
9,government
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
17,ship
17,ship
13,war
17,ship
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
17,ship
13,war
13,war
13,war
17,ship
13,war
17,ship
13,war
13,war
17,ship
13,war
13,war
13,war
13,war
13,war
13,war
13,war
3,king
13,war
17,ship
13,war
13,war
13,war
13,war
17,ship
13,war
13,war
13,war
13,war
13,war
17,ship
17,ship
13,war
13,war
17,ship
13,war
17,ship
17,ship
13,war
13,war
13,war
3,king
17,ship
3,king
13,war
13,war
13,war
3,king
13,war
13,war
17,ship
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
3,king
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
3,king
17,ship
13,war
13,war
13,war
13,war
13,war
3,king
13,war
13,war
13,war
13,war
13,war
17,ship
13,war
13,war
13,war
3,king
13,war
13,war
17,ship
17,ship
13,war
13,war
13,war
3,king
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
13,war
17,ship
13,war
13,war
13,war
13,war
17,ship
13,war
13,war
13,war
13,war
13,war
17,ship
13,war
13,war
13,war
13,war
13,war
13,war
13,war
17,ship
13,war
17,ship
13,war
13,war
13,war
13,war
13,war
17,ship
13,war
13,war
13,war
13,war
13,war
13,war
13,war
3,king
13,war
13,war
13,war
13,war
13,war
13,war
17,ship
17,ship
17,ship
13,war
13,war
13,war
17,ship
13,war
17,ship
6,song
6,song
5,album
6,song
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
6,song
5,album
5,album
5,album
5,album
5,album
6,song
5,album
6,song
5,album
6,song
6,song
6,song
5,album
5,album
6,song
6,song
5,album
6,song
5,album
5,album
5,album
5,album
6,song
5,album
6,song
6,song
6,song
5,album
6,song
5,album
6,song
6,song
6,song
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
6,song
5,album
5,album
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
6,song
5,album
6,song
5,album
5,album
5,album
5,album
6,song
6,song
5,album
6,song
6,song
6,song
6,song
5,album
6,song
6,song
6,song
5,album
5,album
6,song
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
6,song
5,album
6,song
6,song
5,album
5,album
5,album
5,album
5,album
5,album
6,song
6,song
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
5,album
6,song
5,album
5,album
5,album
5,album
6,song
6,song
5,album
5,album
6,song
5,album
6,song
5,album
6,song
6,song
5,album
5,album
5,album
5,album
5,album
6,song
5,album
6,song
6,song
5,album
5,album
5,album
5,album
5,album
6,song
6,song
5,album
5,album
6,song
5,album
5,album
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
1,team
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
11,book
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
0,years
1,team
1,team
1,team
1,team
1,team
0,years
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
0,years
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
1,team
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
2,episode
18,australia
18,australia
13,war
13,war
13,war
13,war
13,war
18,australia
13,war
13,war
13,war
13,war
13,war
13,war
18,australia
13,war
13,war
18,australia
13,war
13,war
18,australia
18,australia
13,war
9,government
13,war
13,war
18,australia
13,war
13,war
18,australia
18,australia
9,government
18,australia
13,war
13,war
18,australia
18,australia
13,war
13,war
18,australia
13,war
18,australia
13,war
18,australia
13,war
13,war
18,australia
17,ship
13,war
13,war
18,australia
13,war
13,war
18,australia
0,years
13,war
13,war
13,war
13,war
13,war
13,war
18,australia
13,war
13,war
13,war
13,war
13,war
18,australia
13,war
13,war
13,war
18,australia
13,war
18,australia
18,australia
13,war
13,war
13,war
13,war
13,war
13,war
13,war
18,australia
13,war
13,war
13,war
13,war
18,australia
13,war
18,australia
18,australia
13,war
13,war
18,australia
18,australia
18,australia
18,australia
13,war
18,australia
9,government
13,war
13,war
18,australia
13,war
17,ship
18,australia
15,building
